Marca temporal,¿Qué edad tienes?,¿Qué dispositivos usas principalmente?,"¿Cuántas horas al día, en promedio, utiliza su dispositivo móvil (celular, tablet) en días laborables?","  ¿Cuántas horas diarias pasas, en promedio, específicamente en Redes Sociales? (Instagram, TikTok, Twitter/X, etc.)  ",  ¿Cuál es tu promedio académico actual o estimado en este ciclo lectivo? (Nota del 1 al 10)  ,"¿Cuántas horas al día, en promedio, utiliza su dispositivo móvil durante los fines de semana?",¿Cuál es la principal actividad que realiza en su dispositivo móvil?,Indique en qué rango de tiempo usted suele revisar su dispositivo con mayor frecuencia. [Lunes a Viernes],Indique en qué rango de tiempo usted suele revisar su dispositivo con mayor frecuencia. [Sábados y Domingos],Evalúe su nivel de dependencia del dispositivo móvil (1 siendo muy baja y 10 siendo muy alta).,¿Considera que su uso de pantalla afecta negativamente su sueño o productividad?
2026-06-08 12:41:39,20,Android,1 a 2 horas,4 horas,9,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",4,Moderadamente
2026-06-08 12:48:58,21,Android,4 a 6 horas,1 hora,7,Más de 6 horas,"Consumo de video (YouTube, Netflix), Juegos (Móviles), Trabajo o estudios",Noche (después de las 22:00),Noche (después de las 22:00),7,Ligeramente
2026-06-08 12:49:12,24,Android,4 a 6 horas,No se 3,8,Más de 6 horas,"Consumo de video (YouTube, Netflix)",Tarde (17:00 a 20:00),"Temprano en la mañana (antes de las 9:00), Tarde (17:00 a 20:00)",9,Ligeramente
2026-06-08 12:49:27,20 años ,Android,1 a 2 horas,"1 hora más o menos por día me la paso en redes sociales, mayoritariamente en Instagram ",8,Menos de 1 hora,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Lectura de noticias o navegación web",Mediodía (12:00 a 14:00),"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",2,"No, en absoluto"
2026-06-08 12:50:59,22 años,Android,4 a 6 horas,2 a 3 horas,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix)","Tarde (17:00 a 20:00), Noche (después de las 22:00)","Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Ligeramente
2026-06-08 12:51:41,21,Android,Más de 6 horas,No tengo,6,Más de 6 horas,"Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Lectura de noticias o navegación web",Tarde (17:00 a 20:00),"Tarde (17:00 a 20:00), Noche (después de las 22:00)",8,Moderadamente
2026-06-08 12:55:50,19,Android,Más de 6 horas,5,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Lectura de noticias o navegación web",Noche (después de las 22:00),Tarde (17:00 a 20:00),8,Ligeramente
2026-06-08 12:57:42,47,Iphone,2 a 4 horas,2,8,4 a 6 horas,"Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Lectura de noticias o navegación web",Tarde (17:00 a 20:00),"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",4,Moderadamente
2026-06-08 12:58:04,16,Android,2 a 4 horas,5 horas ,9,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios","Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00)","Tarde (17:00 a 20:00), Noche (después de las 22:00)",7,Ligeramente
2026-06-08 13:00:44,47,Iphone,Menos de 1 hora,2 horas,1,Menos de 1 hora,"Comunicación (WhatsApp, Telegram, llamadas)",Mediodía (12:00 a 14:00),"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",1,Moderadamente
