Marca temporal,¿Qué edad tienes?,¿Qué dispositivos usas principalmente?,"¿Cuántas horas al día, en promedio, utiliza su dispositivo móvil (celular, tablet) en días laborables?","  ¿Cuántas horas diarias pasas, en promedio, específicamente en Redes Sociales? (Instagram, TikTok, Twitter/X, etc.)  ",  ¿Cuál es tu promedio académico actual o estimado en este ciclo lectivo? (Nota del 1 al 10)  ,"¿Cuántas horas al día, en promedio, utiliza su dispositivo móvil durante los fines de semana?",¿Cuál es la principal actividad que realiza en su dispositivo móvil?,Indique en qué rango de tiempo usted suele revisar su dispositivo con mayor frecuencia. [Lunes a Viernes],Indique en qué rango de tiempo usted suele revisar su dispositivo con mayor frecuencia. [Sábados y Domingos],Evalúe su nivel de dependencia del dispositivo móvil (1 siendo muy baja y 10 siendo muy alta).,¿Considera que su uso de pantalla afecta negativamente su sueño o productividad?,horas_movil_norm,horas_redes_norm
2026-06-08 12:41:38.777,20,Android,1.5,4.0,9,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Juegos (Móviles)",3,"Temprano en la mañana (antes de las 9:00), Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",4,Moderadamente,0.15384615384615385,0.13043478260869565
2026-06-08 12:49:27.379,20 años ,Android,1.5,1.0,8,Menos de 1 hora,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Lectura de noticias o navegación web",1,"Mediodía (12:00 a 14:00), Noche (después de las 22:00)",2,"No, en absoluto",0.15384615384615385,0.0
2026-06-08 12:50:59.320,22 años,Android,5.0,2.0,8,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix)",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00), Noche (después de las 22:00)",6,Ligeramente,0.6923076923076923,0.043478260869565216
2026-06-08 12:55:50.164,19,Android,7.0,5.0,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Consumo de video (YouTube, Netflix), Lectura de noticias o navegación web",1,Tarde (17:00 a 20:00),8,Ligeramente,1.0000000000000002,0.17391304347826086
2026-06-08 12:58:04.270,16,Android,3.0,5.0,9,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",2,"Tarde (17:00 a 20:00), Noche (después de las 22:00)",7,Ligeramente,0.38461538461538464,0.17391304347826086
2026-06-08 13:02:00.264,16,Android,5.0,11.0,7,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Juegos (Móviles)",1,Temprano en la mañana (antes de las 9:00),4,Ligeramente,0.6923076923076923,0.4347826086956522
2026-06-08 13:03:36.581,13,Android,3.0,2.0,9,Menos de 1 hora,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Noche (después de las 22:00),7,"No, en absoluto",0.38461538461538464,0.043478260869565216
2026-06-08 13:03:43.440,16,Android,7.0,6.0,6,Más de 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas), Trabajo o estudios",1,Noche (después de las 22:00),5,Moderadamente,1.0000000000000002,0.21739130434782608
2026-06-08 13:05:01.316,13,Android,3.0,24.0,4,2 a 4 horas,"Redes sociales (Instagram, TikTok, Facebook, X)",1,Mediodía (12:00 a 14:00),5,Ligeramente,0.38461538461538464,1.0
2026-06-08 13:05:32.619,23,Android,7.0,7.0,10,4 a 6 horas,"Redes sociales (Instagram, TikTok, Facebook, X), Comunicación (WhatsApp, Telegram, llamadas)",2,"Mediodía (12:00 a 14:00), Tarde (17:00 a 20:00)",10,"No, en absoluto",1.0000000000000002,0.26086956521739135
