i,xi (horas),fi (frec. abs.),Fi (frec. abs. acum.),hi (frec. rel.),Hi (frec. rel. acum.),pi (%),Pi (% acum.)
1,1.0,16,16,0.1416,0.1416,14.16,14.16
2,2.0,23,39,0.2035,0.3451,20.35,34.51
3,2.3,1,40,0.0088,0.354,0.88,35.4
4,3.0,16,56,0.1416,0.4956,14.16,49.56
5,4.0,24,80,0.2124,0.708,21.24,70.8
6,5.0,7,87,0.0619,0.7699,6.19,76.99
7,6.0,10,97,0.0885,0.8584,8.85,85.84
8,7.0,3,100,0.0265,0.885,2.65,88.5
9,8.0,5,105,0.0442,0.9292,4.42,92.92
10,10.0,2,107,0.0177,0.9469,1.77,94.69
11,11.0,2,109,0.0177,0.9646,1.77,96.46
12,20.0,3,112,0.0265,0.9912,2.65,99.12
13,24.0,1,113,0.0088,1.0,0.88,100.0
Total,-,113,-,1.0,-,100.0,-
